"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"198",10,"Cameron Dicker",LAC,"K3","7","","","2 out of 5 stars","-37"
"199",10,"Jacoby Brissett",ARI,"QB27","14","","","2 out of 5 stars","+14"
"200",10,"James Conner",ARI,"RB65","14","","","2 out of 5 stars","-41"
"201",11,"Cam Little",JAC,"K4","7","","","4 out of 5 stars","-25"
"202",11,"Rashod Bateman",BAL,"WR72","13","","","4 out of 5 stars","+94"
"203",11,"Isaac TeSlaa",DET,"WR73","6","","","4 out of 5 stars","+28"
"204",11,"Pat Bryant",DEN,"WR74","10","","","2 out of 5 stars","+29"
"205",11,"Malik Washington",MIA,"WR75","6","","","3 out of 5 stars","+30"
"206",11,"Baltimore Ravens",BAL,"DST11","13","","","5 out of 5 stars","-15"
"207",11,"Jason Myers",SEA,"K5","11","","","4 out of 5 stars","-40"
"208",11,"Jaydon Blue",DAL,"RB66","14","","","4 out of 5 stars","-2"
"209",11,"Tank Dell",HOU,"WR76","8","","","3 out of 5 stars","-7"
"210",11,"T.J. Hockenson",MIN,"TE25","6","","","4 out of 5 stars","-63"
"211",11,"Green Bay Packers",GB,"DST12","11","","","2 out of 5 stars","+25"
"212",11,"Kansas City Chiefs",KC,"DST13","5","","","3 out of 5 stars","+51"
"213",11,"Troy Franklin",DEN,"WR77","10","","","2 out of 5 stars","+43"
"214",11,"Jaylin Noel",HOU,"WR78","8","","","3 out of 5 stars","+64"
"215",11,"Eddy Pineiro",SF,"K6","8","","","5 out of 5 stars","+8"
"216",11,"Tyler Loop",BAL,"K7","13","","","3 out of 5 stars","-34"
"217",11,"Darnell Mooney",NYG,"WR79","8","","","4 out of 5 stars","+52"
"218",11,"Pat Freiermuth",PIT,"TE26","9","","","2 out of 5 stars","+44"
"219",11,"Jaylen Wright",MIA,"RB67","6","","","3 out of 5 stars","+3"
"220",11,"Gunnar Helm",TEN,"TE27","9","","","3 out of 5 stars","-30"
"221",11,"Cairo Santos",CHI,"K8","10","","","0 out of 5 stars","+31"
"222",11,"Evan McPherson",CIN,"K9","6","","","2 out of 5 stars","+60"
"223",11,"Antonio Williams",WAS,"WR80","7","","","2 out of 5 stars","-3"
"224",11,"Jake Bates",DET,"K10","6","","","5 out of 5 stars","-17"
"225",11,"Andy Borregales",NE,"K11","11","","","1 out of 5 stars","-15"
"226",11,"Zachariah Branch",ATL,"WR81","11","","","3 out of 5 stars","-11"
"227",11,"Detroit Lions",DET,"DST14","6","","","5 out of 5 stars","-2"
"228",11,"Aaron Rodgers",PIT,"QB28","9","","","2 out of 5 stars","+2"
"229",11,"Buffalo Bills",BUF,"DST15","7","","","3 out of 5 stars","+36"
"230",11,"Chase McLaughlin",TB,"K12","10","","","3 out of 5 stars","+19"
"231",11,"Ollie Gordon II",MIA,"RB68","6","","","3 out of 5 stars","+88"
"232",11,"George Holani",SEA,"RB69","11","","","4 out of 5 stars","+26"
"233",11,"Geno Smith",NYJ,"QB29","13","","","4 out of 5 stars","+6"
"234",11,"Cade Otton",TB,"TE28","10","","","2 out of 5 stars","-49"
"235",11,"Cooper Kupp",SEA,"WR82","11","","","3 out of 5 stars","+31"
"236",11,"Harrison Mevis",LAR,"K13","11","","","2 out of 5 stars","-50"
"237",11,"Demond Claiborne",MIN,"RB70","6","","","4 out of 5 stars","-21"
"238",11,"Cleveland Browns",CLE,"DST16","11","","","5 out of 5 stars","+62"
"239",11,"Greg Dulcich",MIA,"TE29","6","","","5 out of 5 stars","+2"
"240",11,"Germie Bernard",PIT,"WR83","9","","","3 out of 5 stars","+10"
"241",11,"David Njoku",LAC,"TE30","7","","","4 out of 5 stars","-85"
"242",11,"Keenan Allen",IND,"WR84","13","","","4 out of 5 stars","+34"
"243",11,"Chimere Dike",TEN,"WR85","9","","","3 out of 5 stars","+16"
"244",12,"Elic Ayomanor",TEN,"WR86","9","","","3 out of 5 stars","+29"
"245",12,"Chris Boswell",PIT,"K14","9","","","4 out of 5 stars","-27"
"246",12,"Keon Coleman",BUF,"WR87","7","","","4 out of 5 stars","+45"
"247",12,"Kaelon Black",SF,"RB71","8","","","2 out of 5 stars","+8"
"248",12,"Ted Hurst III",TB,"WR88","10","","","4 out of 5 stars","+41"
"249",12,"Colby Parkinson",LAR,"TE31","11","","","4 out of 5 stars","-49"
"250",12,"Harrison Butker",KC,"K15","5","","","5 out of 5 stars","-33"
"251",12,"Isaiah Davis",NYJ,"RB72","13","","","3 out of 5 stars","+93"
"252",12,"Jordan James",SF,"RB73","8","","","2 out of 5 stars","+23"
"253",12,"Justice Hill",BAL,"RB74","13","","","3 out of 5 stars","-19"
"254",12,"Evan Engram",DEN,"TE32","10","","","4 out of 5 stars","+33"
"255",12,"Tory Horton",SEA,"WR89","11","","","3 out of 5 stars","+42"
"256",12,"Ja'Kobi Lane",BAL,"WR90","13","","","4 out of 5 stars","-73"
"257",12,"Chris Brooks",GB,"RB75","11","","","4 out of 5 stars","+80"
"258",12,"Fernando Mendoza",LV,"QB30","13","","","1 out of 5 stars","-50"
"259",12,"Malachi Fields",NYG,"WR91","8","","","4 out of 5 stars","-33"
"260",12,"Jack Bech",LV,"WR92","13","","","2 out of 5 stars","+41"
"261",12,"Elijah Sarratt",BAL,"WR93","13","","","4 out of 5 stars","+37"
"262",12,"Chris Bell",MIA,"WR94","6","","","3 out of 5 stars","+37"
"263",12,"Tyquan Thornton",KC,"WR95","5","","","2 out of 5 stars","-"
"264",12,"Ty Johnson",BUF,"RB76","7","","","2 out of 5 stars","-3"
"265",12,"Malik Davis",DAL,"RB77","14","","","4 out of 5 stars","+81"
"266",12,"Samaje Perine",CIN,"RB78","6","","","2 out of 5 stars","+26"
"267",12,"Eli Stowers",PHI,"TE33","10","","","4 out of 5 stars","-56"
"268",12,"Christian Kirk",SF,"WR96","8","","","2 out of 5 stars","+2"
"269",12,"Theo Johnson",NYG,"TE34","8","","","3 out of 5 stars","-42"
"270",12,"Caleb Douglas",MIA,"WR97","6","","","3 out of 5 stars","+4"
"271",12,"Tua Tagovailoa",ATL,"QB31","11","","","4 out of 5 stars","-34"
"272",12,"DJ Giddens",IND,"RB79","13","","","4 out of 5 stars","+66"
"273",12,"Devin Neal",NO,"RB80","8","","","3 out of 5 stars","-22"
"274",12,"Wil Lutz",DEN,"K16","10","","","1 out of 5 stars","-34"
"275",12,"Will Reichard",MIN,"K17","6","","","2 out of 5 stars","-47"
